dataset,embedding,setting,train_dataset,test_dataset,clf,coverage,auroc,auprc
mHSC-GM500->mHSC-L500,v4_type_pe_best,transfer,mHSC-GM500,mHSC-L500,lr,449/500->442/500,0.7295285359801489,0.7888138571323247
mHSC-GM500->mHSC-L500,v4_type_pe_best,transfer,mHSC-GM500,mHSC-L500,mlp,449/500->442/500,0.7941144229523553,0.8639521833411399
mHSC-GM500->mHSC-L500,scconcept,transfer,mHSC-GM500,mHSC-L500,lr,449/500->442/500,0.7200713524071473,0.7551027793664415
mHSC-GM500->mHSC-L500,scconcept,transfer,mHSC-GM500,mHSC-L500,mlp,449/500->442/500,0.8031331280456815,0.8512939368826268
mHSC-GM500->mHSC-L500,scconcept_encoded,transfer,mHSC-GM500,mHSC-L500,lr,449/500->442/500,0.7249643736235264,0.7736870386042964
mHSC-GM500->mHSC-L500,scconcept_encoded,transfer,mHSC-GM500,mHSC-L500,mlp,449/500->442/500,0.7119096734331868,0.8052339054334073
mHSC-GM500->mHSC-L500,cl_scratch_v5,transfer,mHSC-GM500,mHSC-L500,lr,449/500->442/500,0.7688919449510199,0.8098109018160048
mHSC-GM500->mHSC-L500,cl_scratch_v5,transfer,mHSC-GM500,mHSC-L500,mlp,449/500->442/500,0.8044983905846711,0.875995634449646
mHSC-L500->hHep500,minus,transfer,mHSC-L500,hHep500,lr,442/500->487/500,0.0,0.5
mHSC-L500->hHep500,minus,transfer,mHSC-L500,hHep500,mlp,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,baseline,transfer,mHSC-L500,hHep500,lr,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,baseline,transfer,mHSC-L500,hHep500,mlp,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,scGPT_human,transfer,mHSC-L500,hHep500,lr,442/500->487/500,0.0,0.5
mHSC-L500->hHep500,scGPT_human,transfer,mHSC-L500,hHep500,mlp,442/500->487/500,0.0,0.5
